category,item_title,pdf_title,pdf_url,item_url
DRE / Instrumentos de Gestão,Mapa de Pessoal da Direção Regional de Educação aprovado a 10/01/2022,Mapa de Pessoal 2002,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Mapa%20de%20Pessoal%202022.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6141/InformacaoId/149877/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Mapa de Pessoal da Direção Regional de Educação aprovado a 04/01/2021,Mapa de Pessoal 2021,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Mapa%20de%20Pessoal/Mapa%20de%20Pessoal%202021.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6141/InformacaoId/136264/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Mapa de Pessoal da Direção Regional de Educação aprovado a 03/02/2020,Mapa de Pessoal 2020,https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Mapa%20de%20Pessoal%20DRE%202020.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6141/InformacaoId/65901/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Mapa de Pessoal da Direção Regional de Educação aprovado a 07/01/2019,Mapa de Pessoal aprovado a 07-01-2019,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Mapa%20de%20Pessoal/Mapa%20de%20Pessoal%20aprovado%20a%2007-01-2019.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6141/InformacaoId/50949/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Mapa de Pessoal da Direção Regional de Educação aprovado a 02/01/2018,Mapa de Pessoal da DRE,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Mapa%20de%20Pessoal/MapaPessoalDRE.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6141/InformacaoId/42792/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Relatório de Avaliação Intercalar - Outubro 2025,Relatório de Avaliação Intercalar Out. 2025,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Plano%20e%20Relatorio%20de%20Gestao%20de%20Riscos%20e%20Corrupcao%20e%20Infracoes%20Conexas/Relatorio_Intercalar_PPR_out2025_vfinal.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6142/InformacaoId/250556/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,"Plano de Prevenção de Riscos de Gestão, Corrupção e Infrações Conexas da DRE 2024-2027","Plano de prevenção de Riscos de Gestão, Corrupção e Infrações Conexas da DRE 2024-2027",https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Plano%20e%20Relatorio%20de%20Gestao%20de%20Riscos%20e%20Corrupcao%20e%20Infracoes%20Conexas/PPR_30_9_2025_final_1.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6142/InformacaoId/223513/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Relatório Anual de Execução - Abril 2025,Relatório 2024,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Plano%20e%20Relatorio%20de%20Gestao%20de%20Riscos%20e%20Corrupcao%20e%20Infracoes%20Conexas/RelatorioAnualdeExecucao2024.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6142/InformacaoId/250426/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,Relatório (2022-2023),Relatório 2022-2023,https://www.madeira.gov.pt/Portals/15/documentos/1_DRE/InstrumentosGestao/Relatorio_PPRGCIC_2022-2023VF.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6142/InformacaoId/220560/UnidadeOrganicaId/32/CatalogoId/0
DRE / Instrumentos de Gestão,"Plano de Prevenção de Riscos de Gestão, Corrupção e Infrações Conexas da DRE 2022-2023","Plano de Prevenção de Riscos de Gestão, Corrupção e Infrações Conexas da DRE 2022-2023",https://www.madeira.gov.pt/Portals/15/Users/049/05/305/Plano%20de%20Preven%C3%A7%C3%A3o%20de%20Riscos%20de%20Gest%C3%A3o%2C%20Corrup%C3%A7%C3%A3o%20e%20Infra%C3%A7%C3%B5es%20Conexas%20da%20DRE%202022-2023.pdf,https://www.madeira.gov.pt/dre/Estrutura/DRE/A-Dire%C3%A7%C3%A3o/Instrumentos-de-Gest%C3%A3o/ctl/Read/mid/6142/InformacaoId/148531/UnidadeOrganicaId/32/CatalogoId/0
