publication_title,pdf_title,pdf_url,publication_url,publication_type,date
Revista Canal&tú - n.º 58,Revista Canal&tú - n.º 58,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista%2Bcanal%2B58.pdf/0ef88773-26b2-c0ab-5cef-04add22b6f87,https://www.canaldeisabelsegunda.es/publicaciones,revista,2019-05-01
Revista Canal&tú - noviembre 2022,Revista Canal&tú - noviembre 2022,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista-canal-noviembre-2022.pdf/57e1287e-208a-add4-77d3-0b28d21a61fe,https://www.canaldeisabelsegunda.es/publicaciones,revista,2019-04-01
Revista Canal&tú - octubre 2022,Revista Canal&tú - octubre 2022,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista-Canal-Octubre-2022.pdf/7a3d00a8-022b-7157-9bca-0575ee9cc246,https://www.canaldeisabelsegunda.es/publicaciones,revista,2019-03-01
Revista Canal&tú - septiembre 2022,Revista Canal&tú - septiembre 2022,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+Canal%26t%C3%BA_SEPTIEMBRE+2022.pdf/2e659231-2811-d874-ac64-c2792ade3e3a,https://www.canaldeisabelsegunda.es/publicaciones,revista,2019-02-01
Revista Canal&tú - julio 2022,Revista Canal&tú - julio 2022,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+julio+2022_Canal+de+Isabel+II.pdf/2efddb30-3f82-5d77-5d9b-9535ae98da50,https://www.canaldeisabelsegunda.es/publicaciones,revista,2019-01-01
Revista Canal&tú - junio 2022,Revista Canal&tú - junio 2022,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+Junio_2022.pdf/98fe226f-4219-24f2-907d-2ee30f469000,https://www.canaldeisabelsegunda.es/publicaciones,revista,2018-12-01
Revista Canal&tú - mayo 2022,Revista Canal&tú - mayo 2022,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista_mayo_2022.pdf/6f40fda7-5b29-5958-3e75-d7d04e4707bf,https://www.canaldeisabelsegunda.es/publicaciones,revista,2018-11-01
Revista Canal&tú - marzo 2022,Revista Canal&tú - marzo 2022,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+Marzo_2022.pdf/5991b91f-b979-f503-9bf3-04c78544f135,https://www.canaldeisabelsegunda.es/publicaciones,revista,2018-10-01
Revista Canal&tú - febrero 2022,Revista Canal&tú - febrero 2022,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+canal+febrero+2022.pdf/78f4d3c1-51d8-505b-9fbc-1f70e3eb9c52,https://www.canaldeisabelsegunda.es/publicaciones,revista,2018-09-01
Revista Canal&tú - enero 2022,Revista Canal&tú - enero 2022,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista+canal+enero.pdf/10855a0a-54fc-e6e3-16cb-abf1c37430f3,https://www.canaldeisabelsegunda.es/publicaciones,revista,2018-08-01
Revista Canal&tú - diciembre 2021,Revista Canal&tú - diciembre 2021,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+diciembre+canal.pdf/e97bd5c0-2223-0009-182e-e569072e67fa,https://www.canaldeisabelsegunda.es/publicaciones,revista,2018-07-01
Revista Canal&tú - noviembre 2021,Revista Canal&tú - noviembre 2021,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista+canal+noviembre.pdf/af48dfd3-dd4a-49bb-12b0-b4dd29017660,https://www.canaldeisabelsegunda.es/publicaciones,revista,2018-06-01
Revista Canal&tú - octubre 2021,Revista Canal&tú - octubre 2021,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/RevistaOctubre2021.pdf/aaea5575-2926-162c-8774-f4d418597c92,https://www.canaldeisabelsegunda.es/publicaciones,revista,2018-05-01
Revista Canal&tú - septiembre 2021,Revista Canal&tú - septiembre 2021,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista+canal+septiembre.pdf/b8785898-2391-bbc5-4c89-ea456b27928a,https://www.canaldeisabelsegunda.es/publicaciones,revista,2018-04-01
Revista Canal&tú - especial 170 aniversario,Revista Canal&tú - especial 170 aniversario,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+170+aniversario+Canal+de+Isabel+II+%281%29.pdf/24c7be61-64c6-4b89-1d20-7e3b9fbb437e,https://www.canaldeisabelsegunda.es/publicaciones,revista,2018-03-01
Revista Canal&tú - junio 2021,Revista Canal&tú - junio 2021,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+Canal+junio+%281%29.pdf/4437a727-7cdd-170f-6cd7-b37928e485e6,https://www.canaldeisabelsegunda.es/publicaciones,revista,2018-02-01
Revista Canal&tú - mayo 2021,Revista Canal&tú - mayo 2021,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista+canal+mayo.pdf/916ad538-da36-0092-1cd8-c65287d054c2,https://www.canaldeisabelsegunda.es/publicaciones,revista,2018-01-01
Revista Canal&tú - abril 2021,Revista Canal&tú - abril 2021,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/revista+abril+canal.pdf/830a3132-dced-6df3-c378-dac7ccf8af94,https://www.canaldeisabelsegunda.es/publicaciones,magazine,2017-12-01
Revista Canal&tú - marzo 2021,Revista Canal&tú - marzo 2021,https://www.canaldeisabelsegunda.es/documents/portlet_file_entry/20143/Revista+canal+marzo.pdf/ca7919c6-ed6e-7431-7adb-2681b19a2cde,https://www.canaldeisabelsegunda.es/publicaciones,revista,2017-11-01
