category,title,pdf_url,source_url,date
Câmara Municipal / Atas,Ata Número 25/2024 de 27 de Junho de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA__2024.06.27.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 24/2024 de 20 de Junho de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024_06_20.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 23/2024 de 13 de Junho de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024_06_13.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 22/2024 de 6 de Junho de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.06.06.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 21/2024 de 29 de Maio de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024_05_29.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 20/2024 de 23 de Maio de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.05.23.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 19/2024 de 16 de Maio de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.05.16.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 18/2024 de 9 de Maio de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024.05.09.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 16/2024 de 16 de Maio de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024_05_16.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
Câmara Municipal / Atas,Ata Número 17/2024 de 2 de Maio de 2024,https://cmfdoc.funchal.pt/media/k2/attachments/ATA_2024_05_02.pdf,https://cmfdoc.funchal.pt/reunioes-de-camara/rc-atas.html,
